Actual,Predicted
2493.5,2487.7078
2501.8,2485.414
2512.3,2488.2625
2512.1,2485.0498
2551.2,2487.5144
2581.3,2486.5654
2580.4,2488.6182
2564.3,2493.4749
2570.7,2491.4678
2588.0,2492.054
2619.9,2490.7305
2626.5,2487.3855
2651.2,2488.8806
2659.2,2490.4111
2669.9,2491.3706
2644.3,2491.3132
2636.1,2496.4548
2667.3,2503.7542
2647.1,2504.0337
2657.1,2504.7083
2645.8,2506.8474
2644.8,2513.8809
2615.0,2518.3992
2606.0,2522.386
2620.6,2529.77
2657.6,2533.8718
2647.8,2536.229
2661.4,2531.4016
2674.0,2527.3997
2691.0,2526.3298
2713.7,2526.8293
2723.1,2519.7415
2744.2,2518.137
2714.4,2517.0244
2734.9,2519.7996
2740.9,2524.418
2742.9,2528.532
2768.4,2530.193
2788.5,2528.473
2738.3,2525.7327
2738.6,2524.045
2736.1,2526.8496
2740.3,2530.0679
2667.6,2535.6992
2698.4,2540.0142
2687.5,2539.8354
2611.2,2541.0474
2600.0,2546.9583
2580.8,2551.5005
2568.2,2555.5598
2565.7,2558.101
2610.6,2556.8752
2627.1,2558.8977
2648.2,2561.5015
2672.1,2563.2458
2709.9,2563.002
2616.8,2565.2275
2620.3,2563.8875
2639.9,2562.3987
2657.0,2561.8098
2634.9,2563.338
2644.7,2562.85
2653.8,2563.2693
2626.6,2564.745
2638.6,2565.8862
2664.9,2570.4746
2697.6,2576.6687
2733.8,2581.0015
2687.5,2582.609
2656.0,2584.222
2651.4,2586.9692
2644.4,2591.7822
2636.5,2595.9402
2592.2,2600.8835
2628.7,2605.1592
2612.3,2609.075
2620.0,2610.078
2638.8,2610.0464
2617.2,2612.3289
2606.1,2612.8164
2629.2,2613.8406
2658.9,2613.8843
2645.0,2613.83
2638.4,2611.678
2656.7,2609.272
2664.5,2608.6199
2683.8,2611.101
2708.5,2612.5251
2673.5,2614.534
2677.5,2617.0068
2712.5,2620.0974
2746.4,2624.0437
2744.3,2627.7036
2755.0,2631.8086
2767.6,2633.0796
2763.1,2635.123
2777.3,2637.1577
2737.5,2638.8853
2766.8,2641.7698
2769.1,2645.3025
2823.0,2645.2085
2812.5,2644.8643
2833.9,2644.4893
2853.3,2644.5154
2871.6,2640.3118
2856.0,2638.571
2867.3,2636.8982
2914.3,2630.8594
2912.5,2625.0198
2909.0,2619.282
2925.9,2614.0933
2883.6,2610.1282
2931.6,2610.6436
2919.4,2612.637
2940.0,2615.7283
2937.6,2619.739
2947.9,2625.2588
2904.5,2623.4006
2916.8,2621.5754
2883.2,2621.5652
2836.8,2622.9363
2890.2,2622.6738
2909.6,2623.028
2915.3,2623.989
2916.6,2623.001
2904.7,2622.8992
2891.0,2624.6594
2912.9,2628.274
2939.1,2633.395
2984.3,2634.5015
2994.5,2633.023
3000.0,2631.3271
3035.1,2629.5735
3035.9,2627.735
3040.0,2623.4082
3018.2,2622.314
3013.1,2620.7065
3023.7,2619.9934
3020.9,2620.8054
3060.2,2620.0828
3086.5,2618.628
3122.8,2619.0442
3118.9,2621.5312
3139.9,2622.639
3097.0,2622.9116
3012.0,2624.2454
2951.3,2625.8335
2968.4,2628.284
3056.5,2631.733
3155.2,2632.2031
3222.2,2632.5063
3204.8,2634.8542
3218.7,2638.8342
3326.6,2641.8113
3308.7,2644.5662
3406.2,2647.3142
3400.8,2649.127
3276.3,2651.1875
3332.0,2650.5718
3282.4,2651.4138
3332.5,2652.332
3318.8,2655.9639
3305.0,2658.4443
3210.0,2661.339
3231.9,2664.594
3311.3,2668.0398
3411.4,2669.9795
3381.4,2671.9106
3296.6,2675.641
3335.4,2678.6907
3220.0,2680.9055
3240.3,2683.3394
3181.4,2683.4634
3220.7,2685.4185
3182.0,2686.666
3228.9,2688.4924
3280.3,2689.9175
3309.3,2691.483
3292.3,2690.9954
3363.6,2690.909
3299.1,2689.498
3293.6,2686.251
3317.1,2685.7576
3288.9,2686.5771
3370.6,2687.7063
3350.2,2688.7502
3373.5,2689.1057
3350.7,2688.7527
3322.7,2689.3098
3332.1,2690.9758
3320.9,2694.3015
3321.3,2697.5676
3380.9,2700.4172
3431.2,2703.9788
3396.4,2706.9753
3386.6,2709.5073
3389.8,2710.774
3368.1,2711.509
3377.7,2712.4355
3317.4,2713.1628
3327.1,2715.1306
3333.5,2717.803
3273.7,2721.2805
3294.4,2724.127
3336.7,2727.0684
3348.0,2728.2224
3331.6,2726.3718
3332.5,2722.449
3332.2,2719.3728
3307.0,2719.8748
3311.6,2723.9749
3317.4,2729.805
3356.0,2734.2854
3351.5,2738.222
3329.8,2744.1907
3352.5,2748.8623
3340.1,2754.917
3353.0,2759.9463
3401.9,2761.326
3439.2,2763.296
3394.1,2763.884
3371.0,2765.3286
3334.0,2766.3752
3309.1,2766.9692
3323.4,2765.3423
3295.8,2764.1323
3293.2,2764.8972
3347.7,2768.0034
3374.4,2770.3784
3381.9,2770.646
3380.0,2771.4316
3400.3,2769.6887
3439.1,2768.2866
3353.1,2765.757
3348.9,2764.3093
3358.7,2762.3345
3335.2,2761.7
3336.0,2762.5417
3331.7,2764.172
3313.4,2765.3704
3343.4,2767.909
3336.9,2768.9211
3374.4,2769.5383
3373.8,2770.4873
3388.6,2770.768
3404.6,2772.6116
3431.8,2774.004
3473.7,2775.672
3549.4,2776.7239
3593.2,2777.036
3565.8,2777.3875
3613.2,2777.4675
3638.1,2777.521
3643.3,2778.7148
3643.6,2780.8496
3636.9,2782.2273
3649.4,2783.2065
3682.2,2784.066
3688.9,2784.403
3681.8,2784.81
3643.7,2784.069
3671.5,2783.4495
3740.7,2783.0112
3780.6,2781.5369
3732.1,2780.5112
3736.9,2780.4722
3775.3,2780.8342
3820.9001,2780.9753
3840.8,2781.1394
3867.5,2781.2922
3839.7,2780.9546
3880.8,2780.6743
3948.5,2780.5312
3976.6,2781.1428
4043.3,2781.6892
3946.3,2781.7776
3975.9,2782.195
4108.6,2782.3484
4138.7,2782.6948
4176.9,2783.8936
4280.2,2785.712
4189.9,2786.6113
4336.4,2786.9026
4087.7,2786.3943
4044.4,2785.3672
4125.5,2784.6145
4118.4,2783.4514
4001.9,2782.3137
3966.2,2782.3196
3983.7,2782.985
4001.3,2783.8352
3982.2002,2784.6187
4000.3,2785.6758
3947.7,2787.3198
3980.3,2787.3523
3979.9,2787.1306
3999.4,2787.0198
4111.8,2786.4941
4106.8,2785.987
4204.4,2785.4553
4186.9,2784.6448
4087.6,2784.4458
4068.3,2784.2366
4061.3,2784.751
4077.7,2785.3
4056.5,2786.065
4076.7,2787.0464
4091.9,2788.4
