Actual_Return,Predicted_Return
5.24761,3.2432601
5.454631,3.3204734
5.7036524,3.0792332
5.8850327,2.6398947
6.027325,4.0891933
6.2300735,5.609846
6.4302616,3.6834674
6.6208243,3.9643507
6.7476525,4.1067758
6.8941493,5.42892
6.9917884,4.995772
7.0329185,4.9208817
7.1077847,6.0327067
7.1629105,5.6557345
7.2903028,5.4018006
7.4299216,3.2083044
7.5638437,3.493891
7.7006793,3.8145862
7.951876,4.044517
8.126964,1.3655968
8.32724,2.5920556
8.464886,2.3987436
8.584982,4.065757
8.713911,4.457959
8.852823,4.21082
9.04359,3.5321035
9.281066,2.519985
9.508086,2.0801516
9.664371,2.043282
9.817461,3.8421736
9.955902,4.0286946
10.030058,4.644694
10.190937,4.361178
10.34068,3.1862001
10.360154,3.8191242
10.341875,5.2567754
10.2543,5.165248
10.160463,5.2860007
10.125888,5.04804
10.067998,3.8058465
10.010125,4.9174957
9.954258,4.991766
9.955183,4.7293196
9.930225,4.041005
9.90901,4.8765182
9.90828,3.451473
9.866492,3.352179
9.812418,3.270384
9.769012,3.7885346
9.742043,2.8371315
9.67918,3.069174
9.621604,3.233548
9.501838,3.0072868
9.370784,4.278131
9.281354,5.054995
9.2120495,4.8602157
9.112384,4.121324
8.957018,4.2667403
8.74097,4.641287
8.530402,5.4711847
8.282876,5.5637593
7.9952126,6.1099515
7.7151117,6.223779
7.487573,6.363374
7.29814,5.562462
7.054758,5.1618953
6.829378,5.895125
6.592276,5.0757165
6.4173236,5.271171
6.2633286,4.6717362
6.1476483,4.495612
6.067987,3.3055694
5.975331,2.96363
5.835506,3.279106
5.682811,4.36583
5.526041,3.7384334
5.338478,4.0637302
5.1372957,4.2816424
4.887034,4.6851907
4.666793,5.2184434
4.4161663,5.3691316
4.232144,5.821346
4.0444026,4.748388
3.8522837,5.31197
3.661241,5.272507
3.3957076,5.1576924
3.115627,5.714764
2.9048538,6.061337
2.7501013,4.3141055
2.5989997,4.2995744
2.4765723,3.8808992
2.463692,3.8148358
2.40494,1.5315087
2.3594134,2.4497585
2.448983,1.7958202
2.5847976,-0.56163883
2.750225,-0.10776627
2.9276245,-1.0138226
3.0995338,-2.443803
3.2058578,-3.4424417
3.3272953,-3.0515149
3.4125383,-1.917167
3.4700816,-0.23290887
3.4935293,0.6708002
3.622208,1.6795843
3.7162557,-0.64830434
3.7950134,-0.48266855
3.8422883,-0.33172122
3.8769338,0.2969682
