Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2016-03-21,19820.744140625,20008.47020983376,19679.949588718428,19930.251014330108,9058500
2016-03-22,19852.029296875,20008.46766800877,19742.522437081363,19820.74162264825,10143600
2016-03-23,20008.4765625,20008.4765625,19742.531213350274,19852.03812182369,9870900
2016-03-24,20055.408203125,20180.55895634263,19805.10669668974,20008.476670668388,10939750
2016-03-25,20149.267578125,20180.55526069973,19992.829165251358,20071.04837168818,7172300
2016-03-28,20243.130859375,20336.993908181994,20149.267810568006,20149.267810568006,6060900
2016-03-29,20180.552734375,20336.99112766473,20102.333537730137,20243.12809169089,8622700
2016-03-30,20462.14453125,20665.51446925172,20368.28148294151,20493.432214019493,13380250
2016-03-31,20524.71484375,20556.00251881669,20305.701118283156,20430.851818549923,19130750
2016-04-01,20008.4765625,20477.791884528928,19883.32580995895,20321.35344385262,13557800
2016-04-04,20415.2109375,20415.2109375,20008.471102729884,20008.471102729884,9402300
2016-04-05,19711.23828125,20321.348037574407,19711.23828125,20321.348037574407,11815950
2016-04-06,20102.3359375,20196.198984678987,19836.390637159533,19852.034478356032,9211700
2016-04-07,19852.029296875,20336.988247389676,19679.947088627858,20336.988247389676,12939750
2016-04-08,19492.220703125,19852.02895045395,19398.357682082664,19852.02895045395,12593400
2016-04-11,19805.099609375,19883.318802145044,19492.222838294827,19492.222838294827,6034650
2016-04-12,19945.8984375,20039.761488970587,19805.10386029412,19867.67922794118,6702700
2016-04-14,20336.994140625,20368.28182391827,20164.91188251202,20336.994140625,16766350
2016-04-15,20336.994140625,20493.432557091346,20180.555724158654,20477.788715444713,6829950
2016-04-18,20321.345703125,20415.208731776846,20211.83883636451,20258.770350690433,6423700
2016-04-19,20149.267578125,20274.418308423912,20071.04837168818,20243.130625849186,7238300
2016-04-20,20321.345703125,20336.98954123364,20055.400455278097,20055.400455278097,8598600
2016-04-21,20243.130859375,20352.637749649824,20149.267810568006,20336.993908181994,7254450
2016-04-22,20024.111328125,20243.125045776367,19977.179817199707,20243.125045776367,5741500
2016-04-25,20039.755859375,20102.331209443306,19883.317484204235,20102.331209443306,4597850
2016-04-26,20274.41015625,20415.204671223957,20071.040301287616,20102.327971281826,8345050
